2020-08-13T23:25:52+00:00 INFO Updating to version 1.10.0.
2020-08-13T23:25:52+00:00 INFO - Queuing wc_mnm_update_1x10_product_meta callback.
2020-08-13T23:25:52+00:00 INFO - Queuing wc_mnm_update_1x10_order_item_meta callback.
2020-08-13T23:25:52+00:00 INFO - Queuing wc_mnm_update_1x10_db_version callback.
2020-08-13T23:25:53+00:00 INFO - Running wc_mnm_update_1x10_product_meta callback...
2020-08-13T23:25:53+00:00 INFO - Finished wc_mnm_update_1x10_product_meta callback.
2020-08-13T23:25:53+00:00 INFO - Running wc_mnm_update_1x10_order_item_meta callback...
2020-08-13T23:25:53+00:00 INFO - Finished wc_mnm_update_1x10_order_item_meta callback.
2020-08-13T23:25:53+00:00 INFO - Running wc_mnm_update_1x10_db_version callback...
2020-08-13T23:25:53+00:00 INFO Database version is 1.10.0.
2020-08-13T23:25:53+00:00 INFO - Finished wc_mnm_update_1x10_db_version callback.
2020-08-13T23:25:53+00:00 INFO Data update complete.
2020-08-13T23:25:53+00:00 INFO Database version is 1.10.0.
